,,,-0.1179,1.48
,,,-0.1178,1.6
,,,-0.1177,1.72
,,,-0.1176,1.76
,,,-0.1175,1.72
,,,-0.1174,1.72
,,,-0.1173,1.64
,,,-0.1172,1.56
,,,-0.1171,1.48
,,,-0.117,1.36
,,,-0.1169,1.2
,,,-0.1168,1.16
,,,-0.1167,1.12
,,,-0.1166,1.12
,,,-0.1165,1.12
,,,-0.1164,1.12
,,,-0.1163,1.16
,,,-0.1162,1.16
,,,-0.1161,1.16
,,,-0.116,1.16
,,,-0.1159,1.12
,,,-0.1158,1.04
,,,-0.1157,0.92
,,,-0.1156,0.84
,,,-0.1155,0.72
,,,-0.1154,0.6
,,,-0.1153,0.52
,,,-0.1152,0.44
,,,-0.1151,0.4
,,,-0.115,0.36
,,,-0.1149,0.32
,,,-0.1148,0.32
,,,-0.1147,0.32
,,,-0.1146,0.32
,,,-0.1145,0.28
,,,-0.1144,0.24
,,,-0.1143,0.2
,,,-0.1142,0.12
,,,-0.1141,0.04
,,,-0.114,0
,,,-0.1139,-0.08
,,,-0.1138,-0.08
,,,-0.1137,-0.12
,,,-0.1136,-0.16
,,,-0.1135,-0.16
,,,-0.1134,-0.2
,,,-0.1133,-0.24
,,,-0.1132,-0.28
,,,-0.1131,-0.28
,,,-0.113,-0.36
,,,-0.1129,-0.36
,,,-0.1128,-0.44
,,,-0.1127,-0.48
,,,-0.1126,-0.56
,,,-0.1125,-0.64
,,,-0.1124,-0.72
,,,-0.1123,-0.8
,,,-0.1122,-0.84
,,,-0.1121,-0.88
,,,-0.112,-0.92
,,,-0.1119,-1
,,,-0.1118,-1.04
,,,-0.1117,-1.04
,,,-0.1116,-1.08
,,,-0.1115,-1.12
,,,-0.1114,-1.12
,,,-0.1113,-1.16
,,,-0.1112,-1.16
,,,-0.1111,-1.16
,,,-0.111,-1.16
,,,-0.1109,-1.16
,,,-0.1108,-1.2
,,,-0.1107,-1.2
,,,-0.1106,-1.24
,,,-0.1105,-1.24
,,,-0.1104,-1.24
,,,-0.1103,-1.28
,,,-0.1102,-1.28
,,,-0.1101,-1.32
,,,-0.11,-1.32
,,,-0.1099,-1.36
,,,-0.1098,-1.4
,,,-0.1097,-1.44
,,,-0.1096,-1.48
,,,-0.1095,-1.52
,,,-0.1094,-1.52
,,,-0.1093,-1.6
,,,-0.1092,-1.64
,,,-0.1091,-1.6
,,,-0.109,-1.6
